task,setting,label,acceptance,q_minus_p,q_ci,r_minus_bp,r_ci,raw_bayes_unsafe,n,refinement_seconds,bayes_seconds,reference_bank_seconds_shared_caps,logical_proposals_mean,q_vs_q_mmd,q_return,q_boundary,q_mmd,p_return,p_boundary,p_mmd,r_return,r_boundary,r_mmd,bp_return,bp_boundary,bp_mmd
pendulum,negative,Pendulum negative,0.333099365234375,56.36815831267178,"[51.11024817798136, 61.543521740655656]",0.3793316967828896,"[-0.994774905202724, 2.057645257669281]",71,512,1.432683110004291,0.868099661078304,9.603529979009181,3.14453125,0.05317344755519909,-367.01294436933955,0.0,0.0,-423.38110268201126,0.646484375,0.6222896993152105,-366.3455198605169,0.0,0.2507512159345736,-366.72485155729987,0.138671875,0.12688997481870745
pendulum,positive,Pendulum positive,0.34173583984375,47.76765829140963,"[43.084688784258574, 52.36765182981881]",-1.2008566061956363,"[-2.444975579144655, 0.21109694331432868]",92,512,1.4104549300391227,0.7826144881546497,9.603529979009181,2.998046875,0.027974746741349615,-377.8981419312347,0.0,0.0,-425.66580022264435,0.654296875,0.6789432127193444,-378.0181021651931,0.0,0.23649947182958314,-376.8172455589975,0.1796875,0.17075378016912765
Walker2d,0.72,Walker2d 0.72,0.335693359375,-17.569681642676297,"[-29.676411799243954, -5.943473107716611]",21.3462657207898,"[11.05759853842728, 31.82484791475657]",74,128,6.442638840992004,0.6295731398276985,6.133012962993234,3.0234375,0.07639146383698354,3302.5239394187033,0.0,0.0,3320.0936210613795,0.703125,0.1872427383687658,3336.203941019633,0.078125,0.3147081943867386,3314.857675298843,0.578125,0.14788731376642772
Walker2d,0.75,Walker2d 0.75,0.80975341796875,-6.23943951194024,"[-12.445742735783615, -0.4080846170285054]",-4.091269512284917,"[-95.29493276693537, 32.03132596473569]",25,128,4.889139770064503,0.45505197416059673,6.133012962993234,1.28125,0.08217101483396924,3314.990040310449,0.0,0.0,3321.2294798223893,0.203125,0.07439347913995724,3316.096604228647,0.015625,0.22422791502716916,3320.1878737409315,0.1953125,0.09482334886210152
HalfCheetah,0.7,HalfCheetah 0.7,0.60784912109375,1.189929936004373,"[-30.113635778115324, 35.39686181336192]",14.01460303354199,"[-21.897842845553715, 49.62752841082066]",49,128,6.705959336832166,0.6022427740972489,6.106144660850987,2.2109375,0.1241159450882476,442.07728274771443,0.0,0.0,440.8873528117101,0.46875,0.10904685689134642,461.22376204532065,0.125,0.1800452936323897,447.20915901177864,0.3828125,0.13576618917680833
HalfCheetah,0.72,HalfCheetah 0.72,0.802978515625,-0.7285694353498156,"[-8.993058054418258, 9.379917810064276]",30.611970151247014,"[5.443599555057911, 57.41878039943009]",23,128,5.888952927198261,0.43156678997911513,6.106144660850987,1.3203125,0.11289618844170571,454.08530701524785,0.0,0.0,454.8138764505976,0.203125,0.07748051711884558,469.1522879484615,0.0546875,0.15743617609374988,438.54031779721447,0.1796875,0.11894486100006756
