relative_cap_error,true_cap,arm,requests,refusals,true_violations,true_violation_rate,mean_excess_all_outputs,rms_excess_all_outputs,max_excess,mean_true_margin,mean_estimated_margin,mean_native_return_all_outputs
-0.01,0.7272,conditional,2048,0,0,0.0,0.0,0.0,0.0,0.06373300415293509,0.05653300415293511,442.322057326465
-0.01,0.7272,projection,2048,0,0,0.0,0.0,0.0,0.0,0.055412881535897546,0.04821288153589756,441.3415978003566
-0.01,0.7272,refinement,2048,0,0,0.0,0.0,0.0,0.0,0.038070765269198434,0.03087076526919845,458.4645347965309
-0.01,0.7272,bayesfp,2048,0,242,0.1181640625,0.0026800744490386896,0.011049525602134654,0.10758397290791055,0.054173558417988404,0.04697355841798842,440.82470512282555
-0.01,0.7272,bayesfp_projected,2048,0,0,0.0,0.0,0.0,0.0,0.05783936833863888,0.050639368338638906,441.58043475296904
-0.01,0.7272,projection_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.056848314149435177,0.049648314149435185,442.6744444826851
-0.01,0.7272,conditional_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.06660540360031675,0.05940540360031675,443.10341650477403
0.0,0.72,conditional,2048,0,0,0.0,0.0,0.0,0.0,0.05653300415293511,0.05653300415293511,442.322057326465
0.0,0.72,projection,2048,0,0,0.0,4.935652451521812e-09,1.5282677132819727e-08,9.402176026629405e-08,0.04821288153589756,0.04821288153589756,441.3415978003566
0.0,0.72,refinement,2048,0,0,0.0,7.35088295409584e-10,6.170407519072181e-09,1.0469174915872514e-07,0.03087076526919845,0.03087076526919845,458.4645347965309
0.0,0.72,bayesfp,2048,0,320,0.15625,0.003665814469331292,0.012940653715533778,0.11478397290791054,0.04697355841798842,0.04697355841798842,440.82470512282555
0.0,0.72,bayesfp_projected,2048,0,0,0.0,4.8208938189663215e-09,1.547316885704495e-08,1.0037999165213307e-07,0.050639368338638906,0.050639368338638906,441.58043475296904
0.0,0.72,projection_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.049648314149435185,0.049648314149435185,442.6744444826851
0.0,0.72,conditional_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.05940540360031675,0.05940540360031675,443.10341650477403
0.0001,0.719928,conditional,2048,0,2,0.0009765625,2.7672011841456054e-08,1.0045630324560606e-06,4.351604704977419e-05,0.056461004152935146,0.05653300415293511,442.322057326465
0.0001,0.719928,projection,2048,0,348,0.169921875,1.2196361937376245e-05,2.9622427936417085e-05,7.209402176022728e-05,0.0481408815358976,0.04821288153589756,441.3415978003566
0.0001,0.719928,refinement,2048,0,88,0.04296875,2.990972207087862e-06,1.4590073410317787e-05,7.210469174911971e-05,0.03079876526919849,0.03087076526919845,458.4645347965309
0.0001,0.719928,bayesfp,2048,0,322,0.1572265625,0.0036770952049483643,0.012961065039637931,0.1148559729079105,0.04690155841798846,0.04697355841798842,440.82470512282555
0.0001,0.719928,bayesfp_projected,2048,0,322,0.1572265625,1.128528429788627e-05,2.8491192274040218e-05,7.210037999161312e-05,0.05056736833863894,0.050639368338638906,441.58043475296904
0.0001,0.719928,projection_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.049576314149435224,0.049648314149435185,442.6744444826851
0.0001,0.719928,conditional_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.059333403600316796,0.05940540360031675,443.10341650477403
0.001,0.7192799999999999,conditional,2048,0,18,0.0087890625,3.5010519570108432e-06,4.173709202517885e-05,0.0006915160470498671,0.05581300415293505,0.05653300415293511,442.322057326465
0.001,0.7192799999999999,projection,2048,0,359,0.17529296875,0.00012414086681111156,0.0002981201954420036,0.0007200940217603202,0.047492881535897515,0.04821288153589756,441.3415978003566
0.001,0.7192799999999999,refinement,2048,0,139,0.06787109375,3.9448092075094056e-05,0.00016125802022786987,0.0007201046917492127,0.030150765269198396,0.03087076526919845,458.4645347965309
0.001,0.7192799999999999,bayesfp,2048,0,330,0.1611328125,0.003780175721496967,0.013146145720669548,0.11550397290791059,0.046253558417988366,0.04697355841798842,440.82470512282555
0.001,0.7192799999999999,bayesfp_projected,2048,0,330,0.1611328125,0.00011436580084648847,0.00028611612717066505,0.0007201003799917061,0.049919368338638845,0.050639368338638906,441.58043475296904
0.001,0.7192799999999999,projection_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.04892831414943514,0.049648314149435185,442.6744444826851
0.001,0.7192799999999999,conditional_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.05868540360031671,0.05940540360031675,443.10341650477403
0.005,0.7163999999999999,conditional,2048,0,87,0.04248046875,7.35990713627693e-05,0.00042024001640447533,0.003571516047049861,0.05293300415293506,0.05653300415293511,442.322057326465
0.005,0.7163999999999999,projection,2048,0,410,0.2001953125,0.0006623615965359311,0.001522733765020409,0.003600094021760314,0.044612881535897514,0.04821288153589756,441.3415978003566
0.005,0.7163999999999999,refinement,2048,0,341,0.16650390625,0.0003803637557117309,0.0010476119611801966,0.0036001046917492063,0.027270765269198402,0.03087076526919845,458.4645347965309
0.005,0.7163999999999999,bayesfp,2048,0,374,0.1826171875,0.004272429632248522,0.013999380571099968,0.11838397290791058,0.04337355841798837,0.04697355841798842,440.82470512282555
0.005,0.7163999999999999,bayesfp_projected,2048,0,374,0.1826171875,0.0006066197115980434,0.0014588716052804018,0.0036001003799916997,0.04703936833863886,0.050639368338638906,441.58043475296904
0.005,0.7163999999999999,projection_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.04604831414943514,0.049648314149435185,442.6744444826851
0.005,0.7163999999999999,conditional_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.055805403600316716,0.05940540360031675,443.10341650477403
0.01,0.7128,conditional,2048,0,168,0.08203125,0.0003003498372909124,0.001199975835469261,0.007171516047049797,0.04933300415293512,0.05653300415293511,442.322057326465
0.01,0.7128,projection,2048,0,466,0.2275390625,0.0014354380555746346,0.0031324488373942706,0.0072000940217602505,0.04101288153589758,0.04821288153589756,441.3415978003566
0.01,0.7128,refinement,2048,0,501,0.24462890625,0.0011290639004342172,0.0025232295437137343,0.007200104691749143,0.023670765269198465,0.03087076526919845,458.4645347965309
0.01,0.7128,bayesfp,2048,0,431,0.21044921875,0.00497601773728641,0.01513989725477508,0.12198397290791052,0.039773558417988436,0.04697355841798842,440.82470512282555
0.01,0.7128,bayesfp_projected,2048,0,431,0.21044921875,0.001310207816635932,0.0029947132488211937,0.007200100379991636,0.043439368338638915,0.050639368338638906,441.58043475296904
0.01,0.7128,projection_margin_1pct,2048,0,0,0.0,5.995673336772148e-09,1.6456804810536184e-08,1.0601785971342537e-07,0.0424483141494352,0.049648314149435185,442.6744444826851
